Time	t: 0 -> 0.125	t: 0.0625 -> 0.1875	t: 0.125 -> 0.25	t: 0.1875 -> 0.3125	t: 0.25 -> 0.375	t: 0.3125 -> 0.4375	t: 0.375 -> 0.5	t: 0.4375 -> 0.5625	t: 0.5 -> 0.625	t: 0.5625 -> 0.6875	t: 0.625 -> 0.75	t: 0.6875 -> 0.8125	t: 0.75 -> 0.875	t: 0.8125 -> 0.9375	t: 0.875 -> 1	t: 0.9375 -> 1.0625	t: 1 -> 1.125
0.00805664	-0.310664	-0.0707134	0.099723	-0.332726	-0.370457	0.329819	0.180495	-0.128117	0.057511	-0.0231425	-0.0884735	-0.209617	-0.106065	-0.236935	0.447739	-0.134735	0.746554
0.00817871	-0.173716	-0.122874	-0.191773	-0.253902	-0.290054	0.384366	-0.00296377	0.000676889	0.80653	-0.556032	-0.102208	-0.182597	-0.107598	-0.196785	-0.0228817	-0.124902	0.6466
0.00830078	0.298631	-0.141277	-0.381587	-0.172508	-0.213192	0.419761	-0.137048	-0.0847014	0.324383	0.100235	-0.115932	-0.15548	-0.110205	-0.156016	0.428655	-0.113995	-0.126301
0.00842285	-0.240422	-0.122908	0.122267	-0.0981548	-0.149847	0.431953	0.187529	0.165772	0.552716	-0.298776	-0.129586	-0.128532	-0.11387	-0.114937	-0.0783553	-0.102049	-0.451155
0.00854492	0.00520517	-0.0689439	0.0679648	-0.0397421	-0.108547	0.419545	0.446799	-0.270262	0.187128	-0.146095	-0.143106	-0.102014	-0.118561	-0.0738569	0.407814	-0.0891134	-0.0662574
0.00866699	0.154393	0.0153187	-0.0427789	-0.00443539	-0.095342	0.38402	0.195925	0.169907	0.164249	0.0359898	-0.156429	-0.0761853	-0.124231	-0.033084	-0.127167	-0.0752478	0.516168
0.00878906	-0.316412	0.121004	0.299003	0.0031684	-0.113045	0.32963	-0.0662903	-0.0824387	0.0186752	-0.082469	-0.169491	-0.0512996	-0.130825	0.00707753	0.387095	-0.0605235	0.409781
0.00891113	-0.0825634	0.236626	0.26727	-0.0184078	-0.16084	0.26295	0.114102	-0.212076	-0.0784254	-0.0923838	-0.182229	-0.0276005	-0.13827	0.0463305	-0.167066	-0.0450223	-0.293613
0.0090332	-0.209605	0.34937	0.272568	-0.0673204	-0.234313	0.192149	0.258205	0.0785597	-0.170262	0.336752	-0.194579	-0.005321	-0.146484	0.0843871	0.368264	-0.0288367	-0.516544
0.00915527	0.0667629	0.446553	0.44766	-0.138581	-0.325905	0.126053	-0.0802794	-0.328156	0.534203	-0.222546	-0.20648	0.015319	-0.155372	0.120972	-0.196069	-0.0120684	0.241965
0.00927734	0.165904	0.517093	0.203444	-0.224593	-0.425748	0.0731105	-0.40651	-0.014571	-0.642051	0.41599	-0.217871	0.034115	-0.16483	0.155823	0.352905	0.00517205	0.517326
0.00939941	-0.0599402	0.552817	0.261422	-0.315996	-0.522786	0.0403797	-0.232138	-0.398019	-0.221145	0.118622	-0.228693	0.0508801	-0.174741	0.188696	-0.212536	0.0227661	-0.161147
0.00952148	0.131836	0.54945	0.420309	-0.402715	-0.606057	0.0326629	-0.0122302	-0.0525619	-0.476018	0.183491	-0.238889	0.0654461	-0.184984	0.219366	0.342346	0.0405884	-0.324606
0.00964355	-0.231146	0.507175	-0.0860168	-0.475107	-0.665988	0.0518882	-0.225495	-0.24131	-1.25144	0.400017	-0.248405	0.0776662	-0.195424	0.247627	-0.215234	0.0585081	-0.493644
0.00976562	0.160804	0.430682	-0.0859056	-0.525071	-0.695546	0.0968214	-0.418585	-0.496942	-0.0461594	0.319519	-0.257191	0.0874155	-0.205926	0.2733	0.337611	0.0763895	0.228493
0.0098877	0.158865	0.328692	0.247682	-0.546993	-0.691111	0.163149	-0.104462	0.276153	0.588243	0.201873	-0.2652	0.094593	-0.216345	0.296225	-0.203389	0.0940938	0.151077
0.0100098	-0.293071	0.213009	-0.334409	-0.538412	-0.65296	0.243931	0.259937	-0.644417	0.569613	0.700862	-0.272387	0.0991221	-0.226534	0.316272	0.339369	0.11148	-0.25017
