Time	Clean	Noisy	Reconstructed
0.253906	1.47019	1.81541	1.24935
0.254028	1.40816	2.27022	1.16321
0.25415	1.23711	1.76364	0.98794
0.254272	0.978802	-0.109437	0.745017
0.254395	0.665248	-0.226473	0.463912
0.254517	0.33498	2.9307	0.17862
0.254639	0.0284827	-2.17398	-0.0763708
0.254761	-0.216578	0.707177	-0.270173
0.254883	-0.369799	0.320836	-0.379162
0.255005	-0.411623	-2.28232	-0.389778
0.255127	-0.335649	2.3782	-0.300141
0.255249	-0.149386	1.92066	-0.12028
0.255371	0.126632	2.22374	0.129054
0.255493	0.461268	-0.0152148	0.41884
0.255615	0.816453	1.43583	0.715229
0.255737	1.15168	3.26032	0.983549
0.255859	1.42877	3.22994	1.19243
0.255981	1.61639	1.35621	1.3175
0.256104	1.69374	-1.1173	1.34432
0.256226	1.65301	1.35271	1.27009
0.256348	1.50029	3.03739	1.10395
0.25647	1.25486	1.89585	0.865992
0.256592	0.946928	2.36053	0.584805
0.256714	0.61404	2.92443	0.294142
0.256836	0.29667	1.3549	0.0289092
0.256958	0.0334415	-1.96448	-0.178972
0.25708	-0.14343	1.25894	-0.30435
0.257202	-0.211935	1.80721	-0.33183
0.257324	-0.162867	-2.21042	-0.257609
0.257446	-0.000909059	0.187358	-0.0899404
0.257568	0.255918	2.34002	0.151837
0.25769	0.578382	-5.72283	0.439575
0.257812	0.929487	-0.34652	0.739647
0.257935	1.26884	3.44864	1.01693
0.258057	1.55739	3.33638	1.23897
0.258179	1.76209	-0.139507	1.37981
0.258301	1.85974	4.45385	1.42313
0.258423	1.83973	-2.46688	1.36413
0.258545	1.70533	2.60237	1.21016
0.258667	1.47326	-0.618033	0.979847
0.258789	1.17174	-3.27857	0.700917
0.258911	0.837164	-3.43133	0.406905
0.259033	0.509786	-1.61034	0.133203
0.259155	0.228997	0.564959	-0.08714
0.259277	0.0286651	1.20069	-0.227331
0.259399	-0.0668565	-0.158082	-0.270024
0.259521	-0.0456028	3.62688	-0.209386
0.259644	0.0905924	-2.9749	-0.0518078
0.259766	0.326312	0.594794	0.184833
0.259888	0.634376	-4.38905	0.473273
0.26001	0.979043	-1.55438	0.780077
0.260132	1.32023	5.43206	1.06959
0.260254	1.61824	4.16479	1.30816
0.260376	1.83843	-2.29645	1.46812
0.260498	1.95533	-0.514698	1.53111
0.26062	1.95561	0.562286	1.4902
0.260742	1.83967	3.48277	1.35083
0.260864	1.62161	-1.72335	1.13009
0.260986	1.32751	0.280408	0.854802
0.261108	0.992418	0.405172	0.558297
0.26123	0.656195	1.64738	0.276519
0.261353	0.358793	0.583578	0.0437608
0.261475	0.135562	5.67821	-0.111407
0.261597	0.0130793	-3.79666	-0.169527
0.261719	0.00600822	-1.98585	-0.12258
0.261841	0.115374	2.3452	0.0250383
0.261963	0.32844	0.73028	0.257012
0.262085	0.620212	4.41671	0.547007
0.262207	0.956384	7.44498	0.861773
0.262329	1.29739	1.23668	1.16506
0.262451	1.60305	0.697169	1.42189
0.262573	1.83734	2.28545	1.60275
0.262695	1.97264	2.46891	1.68702
0.262817	1.99294	-1.99224	1.66551
0.262939	1.8958	0.592815	1.54153
0.263062	1.69259	2.14299	1.33054
0.263184	1.40716	-0.361824	1.05837
0.263306	1.07303	-0.471982	0.758137
0.263428	0.729457	3.41604	0.466399
0.26355	0.416758	0.238868	0.218797
0.263672	0.171592	2.0362	0.0458476
0.263794	0.0226253	1.09845	-0.0306849
0.263916	-0.01285	-7.32794	-0.00039106
0.264038	0.069044	-3.4188	0.134521
0.26416	0.258315	-1.51372	0.359452
0.264282	0.532278	2.42308	0.649102
0.264404	0.858233	2.28525	0.970434
0.264526	1.19732	0.455595	1.28656
0.264648	1.5091	2.01337	1.5611
0.264771	1.75634	2.45315	1.76246
0.264893	1.90937	-1.93771	1.86762
0.265015	1.94963	-0.584919	1.86486
