Hz	t: 0 -> 0.125	t: 0.0625 -> 0.1875	t: 0.125 -> 0.25	t: 0.1875 -> 0.3125	t: 0.25 -> 0.375	t: 0.3125 -> 0.4375	t: 0.375 -> 0.5	t: 0.4375 -> 0.5625	t: 0.5 -> 0.625	t: 0.5625 -> 0.6875	t: 0.625 -> 0.75	t: 0.6875 -> 0.8125	t: 0.75 -> 0.875	t: 0.8125 -> 0.9375	t: 0.875 -> 1	t: 0.9375 -> 1.0625	t: 1 -> 1.125	Average PSD:
792	0.000240819	0.000118059	0.00122259	0.00183646	0.000103471	0.000695934	0.000911216	0.000379372	0.00230643	0.000473028	0.00227326	9.60186e-05	0.000254086	0.000125575	8.38348e-05	0.000429455	0.000223314	0.000692525
800	5.36486e-05	5.05055e-05	0.00102733	0.00229599	0.000732302	0.000169258	0.00236153	0.00106859	6.76374e-05	0.000228832	3.48684e-05	0.00154627	0.000368531	0.000923508	0.000708425	0.000152956	0.000273832	0.000709648
808	8.62351e-05	0.000318624	0.000120355	0.000826505	0.00134046	0.000248517	0.000441947	0.000487417	0.000226553	0.000489513	0.00104705	0.00132993	0.000195724	0.000342814	0.00167235	0.000417861	0.000387345	0.000587012
816	0.000685908	0.00212245	0.000435427	0.0001174	0.00231656	0.00119413	0.00115335	0.0012021	0.000100496	3.96444e-05	0.000605752	0.000570245	0.000227291	0.000670289	0.00184106	0.000786981	0.000294847	0.000844938
824	0.00118112	0.00331502	0.000705619	0.000138398	0.000952109	0.00133597	0.00052421	0.00330815	0.000356184	2.61444e-05	3.485e-05	0.000149212	0.00125849	0.000335917	0.00298094	0.000973168	0.000176314	0.00104422
832	0.000824039	0.00202544	0.000250885	0.00115077	0.000334043	0.000185501	0.00291299	0.000630803	0.000156364	0.000825638	4.86295e-05	0.000236907	0.000737893	0.000300081	0.00182105	0.00127343	0.000194879	0.000818196
840	0.000472114	0.00035616	3.02376e-05	0.000412587	0.00109488	0.000372288	0.00260102	0.00138681	0.000163707	0.00131999	0.000331869	0.000209651	0.000437072	0.000325002	0.000816872	0.000751308	0.000228891	0.000665321
848	0.000676609	0.000134959	5.42531e-05	0.000390378	0.00050996	0.000949031	0.000429843	0.000903907	0.000343515	0.000930303	0.00107203	0.000594333	0.000611349	0.000694807	0.00122511	0.000130042	0.000117742	0.000574598
856	0.000713641	0.000136103	0.000423018	0.00117166	0.000159651	0.000399968	7.9099e-05	0.000239562	6.12596e-05	2.36122e-05	0.000681595	0.000182922	0.00081563	0.00103937	0.000686368	3.8713e-05	4.63775e-05	0.000405797
864	0.000439908	4.98486e-05	6.76947e-05	0.000834509	0.000219381	9.26595e-05	0.000263429	0.00144346	0.000793683	0.000872823	0.000229896	0.000190225	0.000244167	0.00012313	0.00142028	0.00047227	1.9278e-05	0.000457449
