Time	Amplitude(Raw)		Time	Amplitude(windowed)		Hz	PSD		Time	Amplitude(denoised)
0.0507812	1.32238		0.0507812	0.0333877		208	7.00746		0.0507812	0.132302
0.0510254	0.745976		0.0510254	0.0190145		209	9.82613		0.0510254	0.167344
0.0512695	0.0543389		0.0512695	0.00139824		210	4.28471		0.0512695	0.192416
0.0515137	0.545493		0.0515137	0.0141693		211	0.44342		0.0515137	0.205645
0.0517578	0.193016		0.0517578	0.00506085		212	1.59862		0.0517578	0.205584
0.052002	0.535325		0.052002	0.0141677		213	4.03319		0.052002	0.191277
0.0522461	-1.51909		0.0522461	-0.0405786		214	1.63502		0.0522461	0.162291
0.0524902	0.330563		0.0524902	0.00891212		215	2.84096		0.0524902	0.118735
0.0527344	-1.67793		0.0527344	-0.0456556		216	0.047372		0.0527344	0.0612667
0.0529785	1.31018		0.0529785	0.0359771		217	3.91119		0.0529785	-0.00892932
0.0532227	-0.871736		0.0532227	-0.0241567		218	10.5039		0.0532227	-0.0901755
0.0534668	-2.41563		0.0534668	-0.0675493		219	5.45586		0.0534668	-0.180354
0.0537109	1.42012		0.0537109	0.0400714		220	0.627732		0.0537109	-0.276976
0.0539551	-5.29372		0.0539551	-0.15072		221	0.9505		0.0539551	-0.377258
0.0541992	1.0042		0.0541992	0.028848		222	1.51186		0.0541992	-0.47822
0.0544434	1.38976		0.0544434	0.0402811		223	0.274148		0.0544434	-0.576779
0.0546875	-1.83315		0.0546875	-0.0536051		224	0.412728		0.0546875	-0.66985
0.0549316	-0.108303		0.0549316	-0.00319506		225	0.686445		0.0549316	-0.754455
0.0551758	-5.63206		0.0551758	-0.167618		226	1.15675		0.0551758	-0.827815
0.0554199	-2.48445		0.0554199	-0.0745897		227	1.17236		0.0554199	-0.887449
0.0556641	-6.07569		0.0556641	-0.184002		228	0.507886		0.0556641	-0.931257
0.0559082	-3.49077		0.0559082	-0.106638		229	0.606055		0.0559082	-0.957588
0.0561523	-1.57141		0.0561523	-0.04842		230	0.354229		0.0561523	-0.965302
0.0563965	-5.63123		0.0563965	-0.175012		231	1.90683		0.0563965	-0.953806
0.0566406	-0.782217		0.0566406	-0.0245191		232	8.67857		0.0566406	-0.923076
0.0568848	0.0784482		0.0568848	0.00248002		233	4.79927		0.0568848	-0.873663
0.0571289	-3.49096		0.0571289	-0.111301		234	0.823957		0.0571289	-0.806675
